日期,基金,代碼,持股,權重,產業,投資題材,區間報酬
2025-09-01,台灣科技成長基金,2330,台積電,24.0,半導體,AI運算,22.0
2025-09-01,台灣科技成長基金,2454,聯發科,10.0,半導體,AI邊緣運算,8.0
2025-09-01,台灣科技成長基金,2382,廣達,8.0,電子代工,AI伺服器,18.0
2025-09-01,台灣科技成長基金,2308,台達電,7.0,電源,資料中心電力,25.0
2025-09-01,台灣科技成長基金,3037,欣興,6.0,PCB,高階PCB,-12.0
2025-09-01,台灣科技成長基金,2345,智邦,5.0,網通,高速傳輸,30.0
2026-09-01,台灣科技成長基金,2330,台積電,27.0,半導體,AI運算,22.0
2026-09-01,台灣科技成長基金,2454,聯發科,7.0,半導體,AI邊緣運算,8.0
2026-09-01,台灣科技成長基金,2382,廣達,9.0,電子代工,AI伺服器,18.0
2026-09-01,台灣科技成長基金,2308,台達電,10.0,電源,資料中心電力,25.0
2026-09-01,台灣科技成長基金,3037,欣興,3.0,PCB,高階PCB,-12.0
2026-09-01,台灣科技成長基金,2345,智邦,8.0,網通,高速傳輸,30.0
2026-09-01,台灣科技成長基金,3661,世芯-KY,5.0,半導體,ASIC設計,35.0
2025-09-01,同類基金A,2330,台積電,20.0,半導體,AI運算,22.0
2026-09-01,同類基金A,2330,台積電,22.0,半導體,AI運算,22.0
2025-09-01,同類基金B,2330,台積電,18.0,半導體,AI運算,22.0
2026-09-01,同類基金B,2330,台積電,19.0,半導體,AI運算,22.0
